1917	8306
1918	4801
1920	4877
1921	6401
1922	5182
1923	4877
1924	4572
1926	3150
1927	5258
1928	4699
1929	6045
1930	2819
1931	4115
1932	6147
1933	5588
1934	2286
1935	5207
1936	5690
1937	5182
1938	4699
1939	4420
1940	2794
1941	2057
1942	2743
1943	5131
1944	3150
1945	4572
1947	5055
1951	4851
1952	4902
1953	4902
1954	6502
1955	6172
1956	8331
1957	4648
1958	5004
1959	4877
1960	4216
1961	5283
1962	4039
1963	3353
1964	5690
1965	4547
1966	3962
1967	6731
1968	3607
1969	4902
1970	4445
1971	6883
1972	7747
1973	3378
1974	7442
1975	5944
1976	6071
1977	3200
1978	4166
1979	4318
1980	4547
1981	3861
1982	6502
1983	4877
1984	5309
1985	4826
1986	3683
1987	3886
1988	4928
1989	5486
1990	4013
1991	5639
1992	3302
1993	3835
1995	5004
1996	3810
1997	6248
1998	4369
1999	7188
2000	4750
2001	3353
2002	5537
2004	4318
2005	2413
2006	5207
2007	3861
2008	6172
2009	5309
2010	4623
2011	6426
2012	5918
2013	5232
