Year	Month	MXSD	TSNW	TPCP	MNTM
1909	1	610	1101	2626	-15
1909	2	1194	1136	3047	9
1909	3	NaN	447	879	31
1909	4	NaN	152	737	51
1909	5	0	234	509	99
1909	6	NaN	0	191	172
1909	7	NaN	NaN	NaN	NaN
1909	8	NaN	NaN	NaN	NaN
1909	9	NaN	NaN	NaN	NaN
1909	10	NaN	NaN	NaN	NaN
1909	11	NaN	538	3056	NaN
1909	12	254	564	1271	2
1910	1	NaN	NaN	NaN	NaN
1910	2	NaN	NaN	NaN	NaN
1910	3	NaN	NaN	NaN	NaN
1910	4	NaN	NaN	NaN	NaN
1910	5	NaN	NaN	NaN	NaN
1910	6	NaN	NaN	NaN	NaN
1910	7	NaN	NaN	NaN	NaN
1910	8	NaN	NaN	NaN	NaN
1910	9	NaN	NaN	NaN	NaN
1910	10	0	NaN	1232	25
1910	11	305	203	NaN	NaN
1910	12	NaN	NaN	NaN	NaN
1911	1	NaN	NaN	NaN	NaN
1911	2	NaN	NaN	NaN	NaN
1911	3	NaN	NaN	NaN	NaN
1911	4	NaN	NaN	NaN	NaN
1911	5	NaN	NaN	NaN	NaN
1911	6	NaN	NaN	NaN	NaN
1911	7	NaN	NaN	NaN	NaN
1911	8	NaN	NaN	NaN	NaN
1911	9	NaN	NaN	NaN	NaN
1911	10	NaN	NaN	NaN	NaN
1911	11	NaN	NaN	NaN	NaN
1911	12	NaN	NaN	NaN	NaN
1912	1	NaN	NaN	NaN	NaN
1912	2	NaN	NaN	NaN	NaN
1912	3	NaN	NaN	NaN	NaN
1912	4	NaN	NaN	NaN	NaN
1912	5	NaN	NaN	555	85
1912	6	NaN	NaN	369	NaN
1912	7	NaN	NaN	127	NaN
1912	8	NaN	NaN	1372	NaN
1912	9	NaN	NaN	406	NaN
1912	10	NaN	0	1269	NaN
1912	11	NaN	NaN	687	NaN
1912	12	660	838	228	NaN
1913	1	2591	2386	559	NaN
1913	2	1829	813	152	NaN
1913	3	1524	482	NaN	NaN
1913	4	1219	NaN	25	59
1913	5	381	NaN	330	NaN
1913	6	NaN	NaN	NaN	NaN
1913	7	NaN	NaN	NaN	NaN
1913	8	NaN	NaN	NaN	NaN
1913	9	NaN	0	1144	124
1913	10	25	25	2344	62
1913	11	229	140	2476	27
1913	12	229	216	650	8
1914	1	635	774	3949	5
1914	2	1041	808	2088	4
1914	3	533	813	1407	47
1914	4	127	287	1397	60
1914	5	0	0	681	114
1914	6	0	13	1011	117
1914	7	0	0	112	166
1914	8	0	0	51	163
1914	9	0	0	1951	103
1914	10	0	0	2265	87
1914	11	356	558	2520	28
1914	12	178	126	613	-16
1915	1	457	629	1403	-1
1915	2	483	355	1308	20
1915	3	0	0	1000	53
1915	4	0	0	1293	83
1915	5	0	0	1829	85
1915	6	0	0	666	121
1915	7	0	0	669	151
1915	8	0	0	21	179
1915	9	0	0	767	116
1915	10	0	0	2858	73
1915	11	559	1155	3855	7
1915	12	991	1239	4091	-2
1916	1	1626	1838	1968	-58
1916	2	2134	1574	2741	4
1916	3	2362	1663	4482	8
1916	4	1372	355	1526	43
1916	5	330	482	1155	54
1916	6	0	0	951	114
1916	7	0	0	1101	133
1916	8	0	0	163	161
1916	9	0	0	930	123
1916	10	51	76	850	76
1916	11	178	456	2764	8
1916	12	1041	1600	1954	-16
1917	1	1829	1732	3206	-24
1917	2	1829	889	1543	-14
1917	3	2362	2411	2686	-10
1917	4	2184	406	2296	19
1917	5	1346	25	459	46
