DATE	MXSD	TSNW	TPCP	MNTM
19090101	610	1101	2626	-15
19090201	1194	1136	3047	9
19090301	-9999	447	879	31
19090401	-9999	152	737	51
19090501	0	234	509	99
19090601	-9999	0	191	172
19091101	-9999	538	3056	-9999
19091201	254	564	1271	2
19101001	0	-9999	1232	25
19101101	305	203	-9999	-9999
19120501	-9999	-9999	555	85
19120601	-9999	-9999	369	-9999
19120701	-9999	-9999	127	-9999
19120801	-9999	-9999	1372	-9999
19120901	-9999	-9999	406	-9999
19121001	-9999	0	1269	-9999
19121101	-9999	-9999	687	-9999
19121201	660	838	228	-9999
19130101	2591	2386	559	-9999
19130201	1829	813	152	-9999
19130301	1524	482	-9999	-9999
19130401	1219	-9999	25	59
19130501	381	-9999	330	-9999
19130901	-9999	0	1144	124
19131001	25	25	2344	62
19131101	229	140	2476	27
19131201	229	216	650	8
19140101	635	774	3949	5
19140201	1041	808	2088	4
19140301	533	813	1407	47
19140401	127	287	1397	60
19140501	0	0	681	114
19140601	0	13	1011	117
19140701	0	0	112	166
19140801	0	0	51	163
19140901	0	0	1951	103
19141001	0	0	2265	87
19141101	356	558	2520	28
19141201	178	126	613	-16
19150101	457	629	1403	-1
19150201	483	355	1308	20
19150301	0	0	1000	53
19150401	0	0	1293	83
19150501	0	0	1829	85
19150601	0	0	666	121
19150701	0	0	669	151
19150801	0	0	21	179
19150901	0	0	767	116
19151001	0	0	2858	73
19151101	559	1155	3855	7
19151201	991	1239	4091	-2
19160101	1626	1838	1968	-58
19160201	2134	1574	2741	4
19160301	2362	1663	4482	8
19160401	1372	355	1526	43
19160501	330	482	1155	54
19160601	0	0	951	114
19160701	0	0	1101	133
19160801	0	0	163	161
19160901	0	0	930	123
19161001	51	76	850	76
19161101	178	456	2764	8
19161201	1041	1600	1954	-16
19170101	1829	1732	3206	-24
19170201	1829	889	1543	-14
19170301	2362	2411	2686	-10
19170401	2184	406	2296	19
19170501	1346	25	459	46
19170601	0	0	1970	93
19170701	0	0	86	163
19170801	0	0	0	171
19170901	0	0	748	123
19171001	25	25	971	90
19171101	0	25	1422	56
19171201	305	710	9581	19
19180101	762	1002	4672	6
19180201	914	932	2618	-17
19180301	1143	494	1321	9
19180401	584	304	745	52
19180501	0	76	1168	74
19180601	0	0	66	147
19180701	0	0	470	154
19180801	0	0	921	141
19180901	0	0	191	161
19181001	0	0	3047	82
19181101	406	610	2208	19
19181201	508	560	3300	-9
19190101	584	381	4451	-2
19190201	1219	1294	2019	-2
19190301	1651	1689	2242	15
19190401	864	253	1667	39
19190501	0	102	1133	84
19190601	0	0	480	113
19190701	0	0	130	158
19190801	0	0	143	158
19190901	0	0	897	125
19191001	76	177	1836	56
19191101	178	456	2743	23
19191201	356	254	2203	-21
19200101	102	229	3630	3
19200201	102	216	376	21
19200301	406	736	2737	18
19200401	660	1258	2676	23
19200501	0	51	1020	71
19200601	0	0	920	110
19200701	-9999	0	253	168
19200801	-9999	0	678	167
19200901	0	0	2875	111
19201001	76	127	2777	63
19201101	178	190	2145	29
19201201	914	1932	4758	3
19210101	1626	2131	5110	-11
19210201	1829	603	4025	-3
19210301	1372	775	2664	17
19210401	991	551	2519	32
19210501	483	76	704	80
19210601	0	0	945	128
19210701	0	0	210	146
19210801	0	0	483	151
19210901	0	0	1270	97
19211001	-9999	0	1537	96
19211101	965	444	4513	36
19211201	483	445	2426	-13
19220101	889	1231	1690	-32
19220201	1067	928	1663	-21
19220301	1372	1586	1691	-5
19220401	1397	1218	1806	25
19220501	584	152	1089	75
19220601	-9999	0	84	148
19220701	-9999	0	0	169
19220801	-9999	0	858	159
19220901	-9999	0	1149	136
19221001	-9999	0	1832	84
19221101	51	191	912	16
19221201	1118	2185	3912	-26
19230101	1321	1994	4694	-9
19230201	1600	1053	980	-17
19230301	1651	1575	2226	3
19230401	1092	304	1126	47
19230501	-9999	76	1216	81
19230601	-9999	-9999	603	121
19230701	-9999	0	496	162
19230801	-9999	0	559	171
19230901	-9999	-9999	328	143
19231001	-9999	0	2050	87
19231101	51	51	2223	47
19231201	686	1396	3838	-7
19240101	940	687	2970	-15
19240201	660	102	2836	16
19240301	457	864	1092	18
19240401	254	203	791	55
19240501	-9999	0	241	117
19240601	-9999	0	770	128
19240701	-9999	-9999	243	153
19240801	-9999	-9999	262	148
19240901	-9999	-9999	692	167
19241001	51	76	2738	66
19241101	584	1042	2918	7
19241201	356	534	3357	-31
19250101	1168	1574	4406	-5
19250201	1118	507	2831	10
19250301	787	228	1478	19
19250401	330	0	930	61
19250501	-9999	0	742	111
19250601	-9999	-9999	449	126
19250701	-9999	-9999	13	168
19250801	-9999	-9999	389	149
19250901	-9999	-9999	552	121
19251001	-9999	-9999	1108	82
19251101	0	11	2183	24
19251201	178	305	3216	23
19260101	330	584	2046	10
19260201	508	634	2760	14
19260301	279	0	886	61
19260401	-9999	0	603	99
19260501	-9999	-9999	1534	97
19260601	-9999	-9999	138	151
19260701	-9999	-9999	0	169
19260801	-9999	-9999	1059	144
19260901	-9999	0	1587	97
19261001	-9999	0	2439	72
19261101	51	127	3097	43
19261201	660	989	2658	-5
19270101	762	1114	3080	-9
19270201	965	710	2600	-6
19270301	940	813	1312	7
19270401	559	405	1272	26
19270501	-9999	25	1695	55
19270601	-9999	-9999	193	127
19270701	-9999	-9999	61	160
19270801	-9999	-9999	1041	155
19270901	-9999	-9999	2462	118
19271001	-9999	0	2593	76
19271101	51	253	5309	28
19271201	813	1219	2541	-24
19280101	965	456	2594	-2
19280201	559	228	473	5
19280301	457	710	3989	23
19280401	483	329	2005	43
19280501	-9999	51	341	125
19280601	-9999	-9999	449	114
19280701	-9999	-9999	454	171
19280801	-9999	-9999	43	156
19280901	-9999	-9999	418	134
19281001	-9999	-9999	2389	70
19281101	-9999	0	1386	32
19281201	457	966	2128	-9
19290101	1448	1650	1971	-37
19290201	1575	686	1094	-26
19290301	1422	430	925	11
19290401	1295	558	914	22
19290501	432	51	1250	73
19290601	-9999	-9999	1238	115
19290701	-9999	-9999	58	154
19290801	-9999	-9999	79	161
19290901	-9999	-9999	325	129
19291001	-9999	-9999	1062	96
19291101	51	51	608	33
19291201	406	1041	2352	10
19300101	762	788	1073	-60
19300201	737	430	1493	0
19300301	559	406	771	23
19300401	152	0	562	66
19300501	-9999	50	1400	77
19300601	-9999	-9999	659	113
19300701	-9999	0	25	150
19300801	-9999	-9999	18	165
19300901	-9999	-9999	559	121
19301001	-9999	-9999	1951	79
19301101	660	838	1441	28
19301201	381	406	1171	-1
19310101	356	152	1822	6
19310201	0	336	1320	5
19310301	127	178	2985	12
19310401	203	229	1066	50
19310501	0	51	817	111
19310601	0	0	1843	118
19310701	0	0	0	167
19310801	0	0	112	160
19310901	0	0	1032	110
19311001	0	51	2711	77
19311101	533	840	2581	12
19311201	838	1040	2372	-6
19320101	1346	1142	2687	-15
19320201	1930	1600	2994	-7
19320301	1651	836	4295	15
19320401	1168	329	1840	42
19320501	203	0	801	83
19320601	0	0	221	138
19320701	0	0	981	136
19320801	0	0	400	149
19320901	0	0	410	136
19321001	0	0	2497	84
19321101	51	178	5586	42
19321201	737	1321	3979	-18
19330101	1524	2513	4301	-22
19330201	2007	1805	2352	-37
19330301	1930	609	2383	-1
19330401	1346	202	679	37
19330501	559	0	1058	56
19330601	0	0	866	112
19330701	0	0	71	147
19330801	0	0	699	162
19330901	0	0	2004	96
19331001	0	0	3155	94
19331101	0	0	2120	56
19331201	330	762	9166	18
19340101	152	278	4494	19
19340201	0	0	626	47
19340301	0	0	3321	67
19340401	127	178	722	99
19340501	0	0	1018	114
19340601	0	0	409	128
19340701	0	0	176	151
19340801	0	0	215	165
19340901	0	0	1286	121
19341001	0	0	2962	94
19341101	203	381	4847	45
19341201	1041	1397	3914	17
19350101	1448	1496	3083	-15
19350201	914	380	953	22
19350301	1219	1346	2804	6
19350401	1041	406	811	46
19350501	0	0	267	94
19350601	0	0	829	133
19350701	0	0	526	159
19350801	0	0	267	159
19350901	0	0	566	150
19351001	102	140	1063	68
19351101	76	152	1475	14
19351201	51	126	1889	34
19360101	406	724	4067	8
19360201	991	1186	2916	-30
19360301	1524	1599	2013	11
19360401	1346	101	559	67
19360501	0	0	2338	110
19360601	0	0	1430	131
19360701	0	0	461	150
19360801	0	0	221	158
19360901	0	0	617	127
19361001	0	0	666	119
19361101	0	0	200	67
19361201	178	721	3798	12
19370101	1270	1588	1144	-52
19370201	1905	1752	3253	0
19370301	1270	228	1370	38
19370401	559	710	2961	37
19370501	0	0	573	99
19370601	0	0	1888	134
19370701	0	0	186	156
19370801	0	0	1145	143
19370901	0	0	473	137
19371001	0	0	1792	108
19371101	0	50	4924	43
19371201	1168	1563	4185	21
19380101	584	405	1861	12
19380201	1041	913	895	18
19380301	940	1268	2144	25
19380401	660	0	1447	70
19380501	0	203	879	102
19380601	0	0	155	143
19380701	0	0	89	177
19380801	0	0	224	143
19380901	0	0	317	157
19381001	0	0	1567	93
19381101	356	659	2920	17
19381201	305	684	3699	13
19390101	533	1065	2969	9
19390201	1219	1751	2772	-10
19390301	1499	864	1105	30
19390401	610	0	332	78
19390501	0	0	802	105
19390601	0	0	880	110
19390701	0	0	398	158
19390801	0	0	331	173
19390901	0	0	582	137
19391001	0	0	1418	87
19391101	0	0	1401	63
19391201	25	51	3767	32
19400101	203	483	1081	16
19400201	305	583	3654	20
19400301	51	139	1811	51
19400401	0	25	1676	70
19400501	0	0	651	120
19400601	0	0	176	147
19400701	0	0	562	153
19400801	0	0	213	163
19400901	0	0	899	144
19401001	0	0	1904	94
19401101	152	330	2042	20
19401201	102	204	1678	27
19410101	203	242	1587	24
19410201	0	13	584	47
19410301	0	25	629	71
19410401	0	76	1043	80
19410501	0	0	1829	96
19410601	0	0	722	120
19410701	0	0	58	184
19410801	0	0	1189	156
19410901	0	0	1994	101
19411001	0	0	2238	76
19411101	0	5	2285	45
19411201	178	610	3486	4
19420101	279	191	1339	-3
19420201	356	629	1431	-1
19420301	457	663	1163	13
19420401	127	206	1389	60
19420501	25	25	1317	81
19420601	0	0	1743	105
19420701	0	0	871	172
19420801	0	0	320	169
19420901	0	0	21	141
19421001	51	51	1598	89
19421101	356	1270	4345	11
19421201	787	1604	3461	-4
19430101	1168	1869	1629	-36
19430201	1372	938	2008	11
19430301	1067	629	2631	9
19430401	864	30	1278	60
19430501	0	26	1235	72
19430601	0	0	976	107
19430701	0	0	305	158
19430801	0	0	377	142
19430901	0	0	246	141
19431001	25	26	2393	78
19431101	0	28	990	45
19431201	51	63	2273	8
19440101	305	486	1806	-9
19440201	686	872	1935	-3
19440301	838	753	1420	6
19440401	406	96	953	53
19440501	25	18	1455	98
19440601	0	0	394	125
19440701	0	0	11	170
19440801	0	0	138	158
19440901	0	0	1880	147
19441001	0	0	614	120
19441101	102	25	2261	38
19441201	305	102	1337	10
19450101	254	444	2911	11
19450201	457	1080	3101	12
19450301	889	1015	2581	18
19450401	940	1105	1989	39
19450501	0	0	1143	105
19450601	0	0	341	131
19450701	0	0	99	187
19450801	0	0	305	177
19450901	0	0	1964	118
19451001	0	0	1471	98
19451101	889	1777	3138	16
19451201	762	837	3304	4
19460101	1397	1944	3916	-5
19460201	1626	1225	2380	7
19460301	1219	584	2073	22
19460401	1092	51	759	50
19460501	0	0	456	107
19460601	0	0	1539	111
19460701	0	0	440	163
19460801	0	0	138	172
19460901	0	0	596	126
19461001	229	305	3282	51
19461101	254	554	2849	12
19461201	254	787	4732	0
19470101	838	1536	3528	-27
19470201	914	203	1565	20
19470301	279	0	1288	55
19470401	76	217	1869	75
19470501	0	0	321	125
19470601	0	0	1488	119
19470701	0	0	411	153
19470801	0	0	252	148
19470901	0	0	1205	140
19471001	0	0	3848	75
19471101	152	177	3689	24
19471201	381	761	2641	8
19480101	813	1117	2328	-6
19480201	1016	1423	3202	-14
19480301	991	1081	1773	13
19480401	686	418	1811	29
19480501	127	25	1879	80
19480601	0	0	1046	149
19480701	0	0	727	146
19480801	0	0	798	139
19480901	0	0	1249	119
19481001	0	0	1528	76
19481101	711	1232	4537	5
19481201	1676	2923	3929	-26
19490101	1880	801	713	-54
19490201	2743	3123	4361	-18
19490301	1981	458	1260	33
19490401	1372	25	747	62
19490501	305	0	785	112
19490601	0	0	562	122
19490701	0	0	392	154
19490801	0	0	364	161
19490901	0	0	698	145
19491001	0	0	2212	71
19491101	0	0	3313	75
19491201	1168	5157	4395	-13
19500101	2159	3849	4169	-72
19500201	1854	658	2964	-1
19500301	1702	750	2898	10
19500401	1778	483	1555	37
19500501	864	18	753	77
19500601	0	0	730	127
19500701	0	0	688	168
19500801	0	0	557	166
19500901	0	0	844	137
19501001	0	0	2996	65
19501101	406	710	3512	24
19501201	356	507	3601	35
19510101	1194	2400	3287	-16
19510201	1168	1159	3085	3
19510301	1676	1873	2465	6
19510401	1118	0	247	75
19510501	0	0	1317	102
19510601	0	0	125	144
19510701	0	0	74	171
19510801	0	0	358	155
19510901	0	0	1338	150
19511001	0	25	3247	75
19511101	229	305	2935	24
19511201	1041	1506	1918	-21
19520101	1524	1792	1750	-20
19520201	991	512	1544	2
19520301	991	697	1650	15
19520401	584	25	848	71
19520501	0	0	707	104
19520601	0	0	885	117
19520701	0	0	10	173
19520801	0	0	214	170
19520901	0	0	231	156
19521001	0	0	491	131
19521101	0	0	360	33
19521201	483	915	2294	2
19530101	533	809	6816	19
19530201	584	685	1724	12
19530301	559	317	1443	24
19530401	356	280	1247	49
19530501	0	0	1387	82
19530601	0	0	1270	100
19530701	0	0	282	162
19530801	0	0	739	160
19530901	0	0	772	143
19531001	0	0	1354	100
19531101	51	88	2601	48
19531201	864	1614	4796	8
19540101	1905	3503	4276	-17
19540201	1524	712	2575	5
19540301	1499	419	1074	4
19540401	1245	318	1489	37
19540501	279	13	934	96
19540601	0	13	1592	103
19540701	0	0	585	144
19540801	0	0	697	139
19540901	0	0	678	126
19541001	0	0	1327	84
19541101	76	102	2794	57
19541201	508	1334	2856	5
19550101	889	1140	1674	-3
19550201	1473	1807	2637	-9
19550301	1930	3340	3250	-14
19550401	1727	1225	1971	16
19550501	1321	127	1093	54
19550601	0	0	708	118
19550701	0	0	1050	133
19550801	0	0	23	154
19550901	0	0	1225	125
19551001	254	280	4368	78
19551101	381	725	4739	-2
19551201	559	1066	3662	-10
19560101	1372	1790	3390	-9
19560201	2134	3095	2625	-18
19560301	2616	2564	3518	-3
19560401	1676	21	444	54
19560501	686	0	481	113
19560601	0	0	1206	111
19560701	0	0	219	174
19560801	0	0	566	160
19560901	0	0	987	132
19561001	152	153	2683	63
19561101	279	377	1361	33
19561201	229	438	4025	12
19570101	914	1665	1597	-34
19570201	1397	1626	2889	-1
19570301	914	851	2466	26
19570401	559	76	1250	63
19570501	0	0	918	114
19570601	0	0	1013	133
19570701	0	0	303	148
19570801	0	0	405	141
19570901	0	0	376	161
19571001	0	0	1901	79
19571101	203	266	2196	28
19571201	660	1474	4213	11
19580101	584	254	2672	11
19580201	483	204	2317	40
19580301	305	381	745	27
19580401	0	0	2306	55
19580501	0	0	560	136
19580601	0	0	925	156
19580701	0	0	11	199
19580801	0	0	262	181
19580901	0	0	1198	124
19581001	0	0	2329	99
19581101	381	509	5390	22
19581201	51	63	3329	31
19590101	229	660	4265	3
19590201	406	697	1329	4
19590301	584	607	2370	20
19590401	279	51	1664	61
19590501	25	13	1014	84
19590601	0	0	984	128
19590701	0	0	307	172
19590801	0	0	519	148
19590901	0	0	3393	112
19591001	0	0	3489	84
19591101	25	26	4401	35
19591201	152	254	2258	9
19600101	660	989	1653	-6
19600201	406	457	2245	3
19600301	940	1321	2429	29
19600401	432	674	1842	59
19600501	0	50	2633	75
19600601	0	0	760	132
19600701	0	0	18	182
19600801	0	0	1266	144
19600901	0	0	791	134
19601001	0	0	2282	90
19601101	330	687	4243	23
19601201	356	420	1940	12
19610101	381	25	3018	31
19610201	559	1002	4900	19
19610301	889	1105	2164	29
19610401	203	457	2275	49
19610501	0	0	1001	93
19610601	0	0	371	159
19610701	0	0	403	178
19610801	0	0	396	192
19610901	0	0	910	115
19611001	25	63	2427	72
19611101	330	571	2220	10
19611201	864	1220	3764	-3
19620101	737	469	2251	-8
19620201	584	203	844	18
19620301	1016	1524	2068	18
19620401	508	51	2036	73
19620501	0	0	1249	73
19620601	0	0	711	127
19620701	0	0	269	156
19620801	0	0	797	153
19620901	0	0	1105	145
19621001	0	0	1781	88
19621101	102	140	4699	43
19621201	279	292	1958	20
19630101	152	329	968	-19
19630201	203	76	2858	55
19630301	330	837	2080	32
19630401	229	13	1452	46
19630501	0	0	695	102
19630601	0	0	1003	120
19630701	0	0	711	140
19630801	0	0	562	160
19630901	0	0	705	161
19631001	0	0	1607	91
19631101	76	127	2905	27
19631201	203	266	1942	16
19640101	1524	3102	5418	0
19640201	1600	889	1303	12
19640301	2210	1676	2541	17
19640401	1549	407	1797	33
19640501	991	0	896	72
19640601	0	0	1249	108
19640701	0	0	582	148
19640801	0	0	1344	143
19640901	0	0	1141	118
19641001	0	0	1097	102
19641101	406	647	2552	18
19641201	889	1891	4589	-14
19650101	1575	2159	4926	4
19650201	1448	1108	2743	9
19650301	1321	293	343	42
19650401	864	13	1207	67
19650501	25	77	892	82
19650601	0	0	128	136
19650701	0	0	191	177
19650801	0	0	978	164
19650901	0	0	788	123
19651001	0	0	1081	109
19651101	203	343	2233	51
19651201	660	1119	1829	0
19660101	1270	1803	2708	0
