Year	MXSD	TSNW	TPCP	MNTM
1917	2362	7494	14449	-6.17
1918	1143	3467	20359	20.83
1919	1651	4787	15887	10.00
1920	660	3149	14365	11.17
1921	1829	6182	21221	11.17
1922	1397	5852	13789	-1.67
1923	1651	7302	13850	2.33
1924	940	3303	13750	19.00
1925	1168	3885	15920	10.17
1926	508	1534	11694	38.50
1927	965	4158	14019	9.33
1928	965	3195	16911	12.17
1929	1575	4290	8418	-1.17
1930	762	2716	6859	12.00
1931	660	2139	9805	16.67
1932	1930	5787	16769	6.83
1933	2007	6628	19280	0.17
1934	330	1218	20449	51.00
1935	1448	5406	16412	20.17
1936	1524	3888	12919	17.33
1937	1905	4999	12726	17.00
1938	1168	4199	15456	31.50
1939	1499	5023	13797	22.83
1940	305	1281	13390	42.00
1941	203	890	7563	44.83
1942	457	2304	11093	19.67
1943	1372	6340	15352	8.50
1944	838	2298	9377	16.67
1945	940	3771	14180	21.33
1946	1626	6418	15570	15.67
1947	914	3297	15831	22.50
1948	1016	4977	15444	9.00
1949	2743	8562	15547	0.33
1950	2159	10897	19294	6.00
1951	1676	6649	16197	21.17
1952	1524	4837	10645	11.83
1953	584	3006	13884	23.17
1954	1905	6654	16811	14.17
1955	1930	8948	15182	8.67
1956	2616	9261	18378	2.00
1957	1397	5033	13588	16.50
1958	660	2579	14449	28.67
1959	584	2587	18347	23.50
1960	940	3721	14828	21.50
1961	889	3696	18540	27.17
1962	1016	4038	13183	18.00
1963	330	1687	14015	29.50
1964	2210	6467	15906	17.50
1965	1575	6111	16360	21.00
1966	1575	6134	11703	25.33
1967	1321	4864	16428	20.67
1968	635	2968	13946	27.50
1969	1880	6448	14082	11.00
1970	660	2764	13639	22.00
1971	2007	6265	18723	6.00
1972	2286	7273	22338	2.33
1973	356	1217	5792	24.00
1974	1956	6564	20537	8.50
1975	1194	5397	15242	9.67
1976	1397	6910	16101	11.00
1977	584	2299	7999	30.17
1978	330	2033	15685	20.50
1979	1092	4155	11711	3.67
1980	1067	3967	13243	21.00
1981	508	1778	15565	33.33
1982	1016	4991	16977	11.00
1983	356	1651	13432	24.67
1984	254	2210	15616	16.83
1985	1397	5077	10629	5.67
1986	508	2502	12024	14.67
1987	356	1629	12516	24.67
1988	533	3616	14275	19.83
1989	1092	4150	13307	12.83
1990	1981	5347	18740	25.67
1991	864	3467	16773	13.50
1992	203	954	12880	41.83
1993	914	2376	11082	8.83
1994	1219	2950	10630	24.33
1995	1092	3584	13265	17.00
1996	914	2755	22043	23.50
1997	1295	5159	21501	12.67
1998	1016	2696	11544	25.00
1999	1372	5842	17447	9.00
2000	1194	3289	13850	20.33
2001	356	2072	8434	20.33
2002	1600	6590	17011	14.83
2003	610	2238	14535	32.00
2004	838	4240	13767	25.50
2005	203	1336	9009	32.17
2006	813	3428	13898	18.17
2007	1219	4394	17796	13.67
2008	2032	7558	13026	3.67
2009	2972	6302	14573	6.83
2010	254	1812	10921	19.33
2011	1118	5432	14949	3.67
2012	889	4055	12508	10.00
