Year	Month	MXSD	TSNW	TPCP	MNTM
1916	1	NaN	NaN	NaN	NaN
1916	2	NaN	NaN	NaN	NaN
1916	3	NaN	NaN	NaN	NaN
1916	4	NaN	NaN	NaN	NaN
1916	5	NaN	NaN	NaN	NaN
1916	6	NaN	NaN	NaN	NaN
1916	7	NaN	NaN	NaN	NaN
1916	8	NaN	NaN	NaN	NaN
1916	9	NaN	NaN	NaN	NaN
1916	10	NaN	NaN	NaN	NaN
1916	11	NaN	NaN	NaN	NaN
1916	12	4267	3125	NaN	-43
1917	1	5486	3325	NaN	-41
1917	2	5918	1956	NaN	-79
1917	3	8077	5232	NaN	-39
1917	4	8306	2389	NaN	11
1917	5	7595	356	NaN	42
1917	6	5182	1206	NaN	66
1917	7	3353	NaN	NaN	136
1917	8	127	0	0	159
1917	9	NaN	NaN	NaN	NaN
1917	10	NaN	NaN	NaN	NaN
1917	11	NaN	NaN	NaN	NaN
1917	12	3048	NaN	NaN	NaN
1918	1	3454	NaN	NaN	-38
1918	2	NaN	NaN	NaN	NaN
1918	3	4775	NaN	NaN	-9
1918	4	4801	NaN	1441	51
1918	5	3962	NaN	1140	45
1918	6	3353	NaN	58	106
1918	7	0	0	470	127
1918	8	NaN	NaN	1781	105
1918	9	NaN	0	263	134
1918	10	NaN	NaN	NaN	NaN
1918	11	NaN	NaN	NaN	NaN
1918	12	NaN	NaN	NaN	NaN
1919	1	NaN	NaN	NaN	NaN
1919	2	NaN	NaN	NaN	NaN
1919	3	NaN	NaN	NaN	NaN
1919	4	NaN	NaN	NaN	NaN
1919	5	NaN	NaN	NaN	NaN
1919	6	NaN	NaN	NaN	NaN
1919	7	NaN	NaN	NaN	NaN
1919	8	NaN	NaN	NaN	NaN
1919	9	76	NaN	666	97
1919	10	457	962	1449	17
1919	11	1422	1675	4369	-6
1919	12	1524	1294	3443	-31
1920	1	2591	2260	3979	-8
1920	2	2261	608	368	-4
1920	3	3556	2285	2285	-31
1920	4	4877	2342	2342	-21
1920	5	3810	718	1093	26
1920	6	3200	165	1649	56
1920	7	1473	NaN	162	121
1920	8	NaN	0	1095	141
1920	9	559	659	6121	86
1920	10	762	991	2530	24
1920	11	1372	1653	2555	2
1920	12	3607	4253	5600	-24
1921	1	5613	3962	5830	-28
1921	2	5740	1575	4230	-20
1921	3	6096	1805	2276	-12
1921	4	6401	1371	2095	3
1921	5	6198	661	839	64
1921	6	4547	115	3127	73
1921	7	2642	127	356	91
1921	8	NaN	0	1015	114
1921	9	51	89	4134	37
1921	10	457	699	2476	46
1921	11	2286	2908	3950	33
1921	12	2286	1525	4103	-3
1922	1	2946	3213	3213	-16
1922	2	4115	2034	2034	-39
1922	3	5029	4015	NaN	-22
1922	4	5182	2132	NaN	11
1922	5	4775	1195	NaN	81
1922	6	2845	25	127	132
1922	7	381	0	0	128
1922	8	NaN	0	NaN	87
1922	9	76	89	1016	93
1922	10	356	762	2667	45
1922	11	991	1219	1421	0
1922	12	2794	332	7342	-66
1923	1	5461	265	2719	-53
1923	2	5740	1537	2045	-47
1923	3	5969	2008	2058	-30
1923	4	4877	148	1511	37
1923	5	5309	660	2707	33
1923	6	4064	178	858	67
1923	7	1473	0	542	111
1923	8	NaN	0	579	107
1923	9	NaN	13	815	92
1923	10	508	1168	NaN	54
1923	11	762	1726	2772	16
1923	12	3073	270	3327	-49
1924	1	4166	3733	3457	-32
1924	2	4470	1294	1778	-60
1924	3	4267	3074	1806	-63
1924	4	4572	1727	1144	2
1924	5	3048	NaN	NaN	89
1924	6	NaN	228	NaN	67
1924	7	NaN	NaN	241	68
1924	8	NaN	NaN	NaN	NaN
1924	9	NaN	NaN	NaN	NaN
1924	10	NaN	NaN	NaN	NaN
1924	11	NaN	NaN	NaN	NaN
1924	12	2845	2361	2336	-48
1925	1	4877	9117	7087	-36
1925	2	6579	2896	1728	-8
1925	3	6706	2286	1397	NaN
1925	4	NaN	NaN	NaN	NaN
1925	5	NaN	NaN	NaN	NaN
1925	6	NaN	NaN	NaN	NaN
1925	7	NaN	NaN	NaN	NaN
1925	8	NaN	NaN	NaN	NaN
1925	9	NaN	NaN	NaN	NaN
1925	10	0	NaN	1589	70
1925	11	1168	1734	2628	3
1925	12	2159	2184	4129	22
1926	1	2921	2769	4282	4
1926	2	3658	2082	2223	-13
1926	3	3200	661	856	25
1926	4	3150	457	858	62
1926	5	1575	558	1409	42
1926	6	0	NaN	213	109
1926	7	NaN	NaN	NaN	134
1926	8	NaN	NaN	1696	129
1926	9	229	469	1927	67
1926	10	330	363	3840	56
1926	11	914	1346	3517	21
1926	12	2032	1749	4359	-35
1927	1	NaN	2725	3066	-38
1927	2	5029	2483	3391	-28
1927	3	5334	1455	1621	-22
1927	4	5258	1510	1619	-1
1927	5	5029	1575	2302	18
1927	6	4166	NaN	334	86
1927	7	1422	NaN	150	137
1927	8	NaN	0	1031	121
1927	9	102	13	3351	73
1927	10	203	224	2978	40
1927	11	1499	2143	6163	-14
1927	12	2438	2209	3143	-50
1928	1	2591	859	3900	-6
1928	2	2769	952	876	0
1928	3	4115	2033	3543	-4
1928	4	4699	1307	2574	5
1928	5	4597	127	463	81
1928	6	2515	38	549	61
1928	7	737	NaN	568	84
1928	8	NaN	NaN	218	113
1928	9	NaN	NaN	30	155
1928	10	203	275	3525	48
1928	11	787	1163	2320	10
1928	12	2337	2387	2294	-8
1929	1	3810	3632	3190	-42
1929	2	4623	1829	1343	-41
1929	3	5258	1611	2005	-4
1929	4	6045	1740	1785	-1
1929	5	5029	295	465	67
1929	6	1981	280	1201	55
1929	7	787	0	0	111
1929	8	NaN	NaN	127	139
1929	9	102	NaN	356	119
1929	10	51	76	1054	56
1929	11	203	254	717	18
1929	12	1676	2464	3683	-19
1930	1	2184	609	838	-102
1930	2	2616	1765	3605	-30
1930	3	3658	2247	3227	-11
1930	4	2819	457	1217	38
1930	5	2235	889	2246	37
1930	6	1270	25	655	88
1930	7	NaN	0	13	130
1930	8	NaN	NaN	NaN	138
1930	9	0	8	898	103
1930	10	102	143	2177	38
1930	11	1219	1588	2007	31
1930	12	1270	920	1000	-4
1931	1	2464	2420	4549	-8
1931	2	2616	1557	2372	-24
1931	3	3912	3304	3906	-21
1931	4	4115	981	1290	11
1931	5	2540	465	803	59
1931	6	559	3	2243	78
1931	7	NaN	NaN	79	129
1931	8	NaN	NaN	181	120
1931	9	NaN	NaN	2267	69
1931	10	1270	1905	3009	44
1931	11	1753	2540	3072	-63
1931	12	3454	3200	4849	-61
1932	1	4394	4370	6221	-36
1932	2	5182	2387	4206	NaN
1932	3	5690	2972	4548	-8
1932	4	6147	1988	2563	66
1932	5	5410	0	557	67
1932	6	3302	0	614	92
1932	7	1753	NaN	1321	80
1932	8	NaN	NaN	784	116
1932	9	NaN	0	495	104
1932	10	508	1157	4386	2
1932	11	1245	1905	5429	24
