DATE	MXSD	TSNW
19161201	4267	3125
19170101	5486	3325
19170201	5918	1956
19170301	8077	5232
19170401	8306	2389
19170501	7595	356
19170601	5182	1206
19170701	3353	-9999
19170801	127	0
19171201	3048	-9999
19180101	3454	-9999
19180301	4775	-9999
19180401	4801	-9999
19180501	3962	-9999
19180601	3353	-9999
19180701	0	0
19180801	-9999	-9999
19180901	-9999	0
19190901	76	-9999
19191001	457	962
19191101	1422	1675
19191201	1524	1294
19200101	2591	2260
19200201	2261	608
19200301	3556	2285
19200401	4877	2342
19200501	3810	718
19200601	3200	165
19200701	1473	-9999
19200801	-9999	0
19200901	559	659
19201001	762	991
19201101	1372	1653
19201201	3607	4253
19210101	5613	3962
19210201	5740	1575
19210301	6096	1805
19210401	6401	1371
19210501	6198	661
19210601	4547	115
19210701	2642	127
19210801	-9999	0
19210901	51	89
19211001	457	699
19211101	2286	2908
19211201	2286	1525
19220101	2946	3213
19220201	4115	2034
19220301	5029	4015
19220401	5182	2132
19220501	4775	1195
19220601	2845	25
19220701	381	0
19220801	-9999	0
19220901	76	89
19221001	356	762
19221101	991	1219
19221201	2794	332
19230101	5461	265
19230201	5740	1537
19230301	5969	2008
19230401	4877	148
19230501	5309	660
19230601	4064	178
19230701	1473	0
19230801	-9999	0
19230901	-9999	13
19231001	508	1168
19231101	762	1726
19231201	3073	270
19240101	4166	3733
19240201	4470	1294
19240301	4267	3074
19240401	4572	1727
19240501	3048	-9999
19240601	-9999	228
19240701	-9999	-9999
19241101	-9999	-9999
19241201	2845	2361
19250101	4877	9117
19250201	6579	2896
19250301	6706	2286
19251001	0	-9999
19251101	1168	1734
19251201	2159	2184
19260101	2921	2769
19260201	3658	2082
19260301	3200	661
19260401	3150	457
19260501	1575	558
19260601	0	-9999
19260701	-9999	-9999
19260801	-9999	-9999
19260901	229	469
19261001	330	363
19261101	914	1346
19261201	2032	1749
19270101	-9999	2725
19270201	5029	2483
19270301	5334	1455
19270401	5258	1510
19270501	5029	1575
19270601	4166	-9999
19270701	1422	-9999
19270801	-9999	0
19270901	102	13
19271001	203	224
19271101	1499	2143
19271201	2438	2209
19280101	2591	859
19280201	2769	952
19280301	4115	2033
19280401	4699	1307
19280501	4597	127
19280601	2515	38
19280701	737	-9999
19280801	-9999	-9999
19280901	-9999	-9999
19281001	203	275
19281101	787	1163
19281201	2337	2387
19290101	3810	3632
19290201	4623	1829
19290301	5258	1611
19290401	6045	1740
19290501	5029	295
19290601	1981	280
19290701	787	0
19290801	-9999	-9999
19290901	102	-9999
19291001	51	76
19291101	203	254
19291201	1676	2464
19300101	2184	609
19300201	2616	1765
19300301	3658	2247
19300401	2819	457
19300501	2235	889
19300601	1270	25
19300701	-9999	0
19300801	-9999	-9999
19300901	0	8
19301001	102	143
19301101	1219	1588
19301201	1270	920
19310101	2464	2420
19310201	2616	1557
19310301	3912	3304
19310401	4115	981
19310501	2540	465
19310601	559	3
19310701	-9999	-9999
19310801	-9999	-9999
19310901	-9999	-9999
19311001	1270	1905
19311101	1753	2540
19311201	3454	3200
19320101	4394	4370
19320201	5182	2387
19320301	5690	2972
19320401	6147	1988
19320501	5410	0
19320601	3302	0
19320701	1753	-9999
19320801	-9999	-9999
19320901	-9999	0
19321001	508	1157
19321101	1245	1905
19321201	2591	2919
19330101	4267	3149
19330201	5334	2718
19330301	5791	2020
19330401	5588	737
19330501	4978	939
19330601	4039	330
19330701	-9999	-9999
19330801	-9999	-9999
19330901	356	406
19331001	305	292
19331101	254	267
19331201	2134	1270
19340101	3150	2011
19340201	2997	520
19340301	2921	559
19340401	2286	432
19340501	1499	255
19340601	51	51
19340701	-9999	-9999
19340801	-9999	0
19340901	102	102
19341001	610	636
19341101	1346	2340
19341201	2896	2576
19350101	4420	2896
19350201	3556	1549
19350301	5334	2692
19350401	5207	813
19350501	4013	164
19350601	2692	25
19350701	762	38
19350801	-9999	-9999
19350901	0	0
19351001	305	686
19351101	762	1346
19351201	1626	1359
19360101	3810	4141
19360201	4877	3455
19360301	5740	1550
19360401	5690	534
19360501	3988	584
19360601	2591	0
19360701	76	0
19360801	-9999	0
19360901	76	203
19361001	25	25
19361101	102	153
19361201	2362	3644
19370101	3302	3302
19370201	4775	4471
19370301	4724	1955
19370401	5182	2946
19370501	4724	636
19370601	2997	279
19370701	-9999	0
19370801	-9999	0
19370901	0	0
19371001	0	127
19371101	1524	-9999
19371201	3251	3193
19380101	3404	1879
19380201	4013	1765
19380301	4851	3176
19380401	4699	482
19380501	4115	660
19380601	2438	0
19380701	-9999	-9999
19380801	-9999	-9999
19380901	-9999	-9999
19381001	51	76
19381101	965	1904
19381201	2108	2361
19390101	3937	3786
19390201	5258	3707
19390301	5791	1956
19390401	4420	176
19390501	3505	228
19390601	2108	242
19390701	406	0
19390801	-9999	-9999
19390901	-9999	0
19391001	102	127
19391201	940	1611
19400101	1372	1167
19400201	3048	3708
19400301	3251	1446
19400401	2794	1040
19400501	2743	432
19400601	711	25
19400701	-9999	0
19400801	-9999	-9999
19400901	-9999	-9999
19401001	305	355
19401101	813	1535
19401201	1575	1219
19410101	2540	1892
19410201	2413	685
19410301	2286	737
19410401	2057	964
19410501	1168	559
19410601	0	0
19410701	-9999	-9999
19410801	-9999	-9999
19410901	0	13
19411001	127	253
19411101	457	684
19411201	1626	2460
19420101	1727	1143
19420201	2667	2617
19420301	2997	1625
19420401	2743	1518
19420501	2667	559
19420601	1346	467
19420701	0	-9999
19420801	-9999	-9999
19420901	-9999	-9999
19421001	330	228
19421101	1575	2630
19421201	3099	3378
19430101	3759	1980
19430201	4674	1834
19430301	5156	2249
19430401	5131	761
19430501	4166	279
19430601	3277	3
19430701	1524	0
19430801	-9999	0
19430901	-9999	0
19431001	584	964
19440101	2337	-9999
19440201	3073	-9999
19440301	3124	-9999
19440401	3150	-9999
19440501	2413	-9999
19440601	762	0
19440701	-9999	0
19440801	-9999	0
19440901	102	127
19441001	0	0
19441101	1067	482
19441201	1016	939
19450101	1702	1371
19450201	2921	-9999
19450301	3835	305
19450401	4572	-9999
19450501	3556	-9999
19450701	-9999	0
19450801	-9999	0
19450901	0	0
19451001	305	0
19451101	2286	915
19451201	2743	76
19460101	5080	-9999
19460201	5639	-9999
19460301	5918	-9999
19460501	5055	0
19460601	3150	-9999
19460701	1397	0
19460801	-9999	0
19460901	102	102
19461001	610	1142
19461101	1473	1524
19461201	3124	3228
19470101	4369	3224
19470201	4801	1092
19470301	5182	1931
19470401	5055	1168
