DATE	MXSD	TSNW	TPCP	MNTM
19161201	4267	3125	-9999	-43
19170101	5486	3325	-9999	-41
19170201	5918	1956	-9999	-79
19170301	8077	5232	-9999	-39
19170401	8306	2389	-9999	11
19170501	7595	356	-9999	42
19170601	5182	1206	-9999	66
19170701	3353	-9999	-9999	136
19170801	127	0	0	159
19171201	3048	-9999	-9999	-9999
19180101	3454	-9999	-9999	-38
19180301	4775	-9999	-9999	-9
19180401	4801	-9999	1441	51
19180501	3962	-9999	1140	45
19180601	3353	-9999	58	106
19180701	0	0	470	127
19180801	-9999	-9999	1781	105
19180901	-9999	0	263	134
19190901	76	-9999	666	97
19191001	457	962	1449	17
19191101	1422	1675	4369	-6
19191201	1524	1294	3443	-31
19200101	2591	2260	3979	-8
19200201	2261	608	368	-4
19200301	3556	2285	2285	-31
19200401	4877	2342	2342	-21
19200501	3810	718	1093	26
19200601	3200	165	1649	56
19200701	1473	-9999	162	121
19200801	-9999	0	1095	141
19200901	559	659	6121	86
19201001	762	991	2530	24
19201101	1372	1653	2555	2
19201201	3607	4253	5600	-24
19210101	5613	3962	5830	-28
19210201	5740	1575	4230	-20
19210301	6096	1805	2276	-12
19210401	6401	1371	2095	3
19210501	6198	661	839	64
19210601	4547	115	3127	73
19210701	2642	127	356	91
19210801	-9999	0	1015	114
19210901	51	89	4134	37
19211001	457	699	2476	46
19211101	2286	2908	3950	33
19211201	2286	1525	4103	-3
19220101	2946	3213	3213	-16
19220201	4115	2034	2034	-39
19220301	5029	4015	-9999	-22
19220401	5182	2132	-9999	11
19220501	4775	1195	-9999	81
19220601	2845	25	127	132
19220701	381	0	0	128
19220801	-9999	0	-9999	87
19220901	76	89	1016	93
19221001	356	762	2667	45
19221101	991	1219	1421	0
19221201	2794	332	7342	-66
19230101	5461	265	2719	-53
19230201	5740	1537	2045	-47
19230301	5969	2008	2058	-30
19230401	4877	148	1511	37
19230501	5309	660	2707	33
19230601	4064	178	858	67
19230701	1473	0	542	111
19230801	-9999	0	579	107
19230901	-9999	13	815	92
19231001	508	1168	-9999	54
19231101	762	1726	2772	16
19231201	3073	270	3327	-49
19240101	4166	3733	3457	-32
19240201	4470	1294	1778	-60
19240301	4267	3074	1806	-63
19240401	4572	1727	1144	2
19240501	3048	-9999	-9999	89
19240601	-9999	228	-9999	67
19240701	-9999	-9999	241	68
19241101	-9999	-9999	-9999	-9999
19241201	2845	2361	2336	-48
19250101	4877	9117	7087	-36
19250201	6579	2896	1728	-8
19250301	6706	2286	1397	-9999
19251001	0	-9999	1589	70
19251101	1168	1734	2628	3
19251201	2159	2184	4129	22
19260101	2921	2769	4282	4
19260201	3658	2082	2223	-13
19260301	3200	661	856	25
19260401	3150	457	858	62
19260501	1575	558	1409	42
19260601	0	-9999	213	109
19260701	-9999	-9999	-9999	134
19260801	-9999	-9999	1696	129
19260901	229	469	1927	67
19261001	330	363	3840	56
19261101	914	1346	3517	21
19261201	2032	1749	4359	-35
19270101	-9999	2725	3066	-38
19270201	5029	2483	3391	-28
19270301	5334	1455	1621	-22
19270401	5258	1510	1619	-1
19270501	5029	1575	2302	18
19270601	4166	-9999	334	86
19270701	1422	-9999	150	137
19270801	-9999	0	1031	121
19270901	102	13	3351	73
19271001	203	224	2978	40
19271101	1499	2143	6163	-14
19271201	2438	2209	3143	-50
19280101	2591	859	3900	-6
19280201	2769	952	876	0
19280301	4115	2033	3543	-4
19280401	4699	1307	2574	5
19280501	4597	127	463	81
19280601	2515	38	549	61
19280701	737	-9999	568	84
19280801	-9999	-9999	218	113
19280901	-9999	-9999	30	155
19281001	203	275	3525	48
19281101	787	1163	2320	10
19281201	2337	2387	2294	-8
19290101	3810	3632	3190	-42
19290201	4623	1829	1343	-41
19290301	5258	1611	2005	-4
19290401	6045	1740	1785	-1
19290501	5029	295	465	67
19290601	1981	280	1201	55
19290701	787	0	0	111
19290801	-9999	-9999	127	139
19290901	102	-9999	356	119
19291001	51	76	1054	56
19291101	203	254	717	18
19291201	1676	2464	3683	-19
19300101	2184	609	838	-102
19300201	2616	1765	3605	-30
19300301	3658	2247	3227	-11
19300401	2819	457	1217	38
19300501	2235	889	2246	37
19300601	1270	25	655	88
19300701	-9999	0	13	130
19300801	-9999	-9999	-9999	138
19300901	0	8	898	103
19301001	102	143	2177	38
19301101	1219	1588	2007	31
19301201	1270	920	1000	-4
19310101	2464	2420	4549	-8
19310201	2616	1557	2372	-24
19310301	3912	3304	3906	-21
19310401	4115	981	1290	11
19310501	2540	465	803	59
19310601	559	3	2243	78
19310701	-9999	-9999	79	129
19310801	-9999	-9999	181	120
19310901	-9999	-9999	2267	69
19311001	1270	1905	3009	44
19311101	1753	2540	3072	-63
19311201	3454	3200	4849	-61
19320101	4394	4370	6221	-36
19320201	5182	2387	4206	-9999
19320301	5690	2972	4548	-8
19320401	6147	1988	2563	66
19320501	5410	0	557	67
19320601	3302	0	614	92
19320701	1753	-9999	1321	80
19320801	-9999	-9999	784	116
19320901	-9999	0	495	104
19321001	508	1157	4386	2
19321101	1245	1905	5429	24
19321201	2591	2919	3183	-60
19330101	4267	3149	3049	-50
19330201	5334	2718	2297	-70
19330301	5791	2020	1623	-44
19330401	5588	737	1067	-14
19330501	4978	939	976	-12
19330601	4039	330	445	46
19330701	-9999	-9999	58	121
19330801	-9999	-9999	111	145
19330901	356	406	1285	64
19331001	305	292	2213	63
19331101	254	267	1760	44
19331201	2134	1270	4543	-12
19340101	3150	2011	4764	-12
19340201	2997	520	700	9
19340301	2921	559	2906	26
19340401	2286	432	950	55
19340501	1499	255	963	61
19340601	51	51	333	87
19340701	-9999	-9999	254	111
19340801	-9999	0	234	131
19340901	102	102	1215	67
19341001	610	636	3016	56
19341101	1346	2340	4781	12
19341201	2896	2576	3509	-15
19350101	4420	2896	3317	-38
19350201	3556	1549	1548	2
19350301	5334	2692	3351	-60
19350401	5207	813	914	-10
19350501	4013	164	266	38
19350601	2692	25	874	62
19350701	762	38	654	104
19350801	-9999	-9999	803	105
19350901	0	0	880	110
19351001	305	686	1113	38
19351101	762	1346	1732	10
19351201	1626	1359	2226	23
19360101	3810	4141	5117	-10
19360201	4877	3455	3930	-41
19360301	5740	1550	3214	-36
19360401	5690	534	746	27
19360501	3988	584	1691	63
19360601	2591	0	1599	80
19360701	76	0	595	110
19360801	-9999	0	227	121
19360901	76	203	574	95
19361001	25	25	934	89
19361101	102	153	440	53
19361201	2362	3644	4180	-33
19370101	3302	3302	2695	-98
19370201	4775	4471	4303	-45
19370301	4724	1955	1465	-3
19370401	5182	2946	2717	-16
19370501	4724	636	398	44
19370601	2997	279	2632	88
19370701	-9999	0	440	130
19370801	-9999	0	1273	102
19370901	0	0	556	102
19371001	0	127	2361	75
19371101	1524	-9999	2211	-9999
19371201	3251	3193	3499	-9
19380101	3404	1879	2650	-25
19380201	4013	1765	1599	-23
19380301	4851	3176	2472	-30
19380401	4699	482	1394	15
19380501	4115	660	902	52
19380601	2438	0	256	89
19380701	-9999	-9999	272	142
19380801	-9999	-9999	501	112
19380901	-9999	-9999	459	138
19381001	51	76	2210	55
19381101	965	1904	2748	-15
19381201	2108	2361	3903	-16
19390101	3937	3786	4490	-33
19390201	5258	3707	3318	-61
19390301	5791	1956	1925	-2
19390401	4420	176	234	26
19390501	3505	228	1230	50
19390601	2108	242	1274	51
19390701	406	0	640	120
19390801	-9999	-9999	694	141
19390901	-9999	0	712	101
19391001	102	127	980	59
19391201	940	1611	3073	-14
19400101	1372	1167	1702	-27
19400201	3048	3708	5132	-25
19400301	3251	1446	2265	9
19400401	2794	1040	1532	18
19400501	2743	432	1223	66
19400601	711	25	211	102
19400701	-9999	0	744	113
19400801	-9999	-9999	285	123
19400901	-9999	-9999	906	112
19401001	305	355	3316	52
