Year	MXSD	TSNW	TPCP	MNTM
1917	8306	NaN	NaN	NaN
1918	4801	NaN	NaN	NaN
1919	NaN	NaN	NaN	NaN
1920	4877	10464	16786	-16.83
1921	6401	14619	22586	-13.17
1922	5182	15827	NaN	-6.00
1923	5969	5509	17096	-26.50
1924	4572	11824	14284	-31.00
1925	6706	NaN	NaN	NaN
1926	3658	9887	14976	17.17
1927	5334	11268	17573	-17.17
1928	4699	9503	20199	-11.50
1929	6045	12362	12937	-14.33
1930	3658	7796	13287	-17.67
1931	4115	10770	15124	-2.50
1932	6147	17457	25459	NaN
1933	5791	13448	16648	-35.67
1934	3150	5059	15623	18.33
1935	5334	12866	17420	-18.17
1936	5740	12385	16965	-4.50
1937	5182	16471	15800	-23.67
1938	4851	NaN	13825	NaN
1939	5791	13890	16618	-16.83
1940	3251	NaN	NaN	NaN
1941	2540	7032	12273	9.00
1942	2997	10047	14787	-10.00
1943	5156	12832	20344	-10.17
1944	3150	NaN	NaN	NaN
1945	4572	NaN	NaN	-13.50
1946	5918	NaN	NaN	NaN
1947	5182	12167	18731	-7.17
1948	5029	NaN	NaN	NaN
1949	4420	NaN	NaN	NaN
1950	356	NaN	NaN	NaN
1951	5232	12007	19942	-22.83
1952	4902	NaN	NaN	NaN
1953	4902	NaN	NaN	NaN
1954	6502	NaN	NaN	NaN
1955	6172	17379	15638	-21.00
1956	9322	19087	17297	-28.83
1957	4724	13462	18766	-10.00
1958	5004	14524	20019	-3.83
1959	5207	15338	26692	-16.67
1960	4216	12642	22606	-12.00
1961	5766	16130	28033	-6.00
1962	4623	11936	19164	-17.33
1963	3429	10042	20513	-5.67
1964	6020	15589	20541	-17.17
1965	4953	14533	23233	-17.17
1966	5182	13198	16781	-15.67
1967	6731	16525	22393	-20.17
1968	3607	11542	20717	-9.67
1969	6502	17791	18024	-32.50
1970	4445	14884	11319	-14.00
1971	7036	23497	24589	-28.17
1972	7747	26377	32628	-31.17
1973	3378	11828	16580	-23.17
1974	7442	24604	34068	-28.67
1975	6071	19635	27522	-31.17
1976	6401	18949	28493	-22.17
1977	3200	8773	14470	3.00
1978	4166	13225	24696	-16.00
1979	4318	14173	20077	-34.83
1980	4547	14632	22566	-12.00
1981	3861	10970	23721	-3.33
1982	6502	18092	23335	-31.83
1983	10693	15163	20544	-13.33
1984	5309	16726	25712	-24.33
1985	5029	15669	18126	-21.50
1986	3683	12674	18192	-17.00
1987	4039	13351	19020	-3.67
1988	4928	NaN	NaN	NaN
1989	5486	18222	23119	-27.33
1990	5105	14987	21156	-3.00
1991	5639	16515	28243	-18.67
1992	3861	11312	22034	6.33
1993	3835	13123	18981	-30.17
1994	4445	NaN	NaN	NaN
1995	5004	16608	24555	-16.50
1996	3810	NaN	NaN	NaN
1997	6807	NaN	NaN	NaN
1998	4775	15809	17467	-8.83
1999	7366	22277	27935	-28.17
2000	5207	16895	24986	-7.17
2001	3353	10405	13879	-18.17
2002	6198	18733	26071	-22.50
2003	4394	NaN	NaN	NaN
2004	4877	14221	17247	-8.83
2005	2413	9295	16463	1.17
2006	5461	18585	23321	-17.67
2007	4674	14779	26781	-5.83
2008	6401	18392	15876	-18.17
2009	5309	15837	17511	-0.83
2010	4623	11607	13435	-4.33
2011	6426	19823	22055	-29.00
2012	5918	16750	20686	-18.67
