STATION	DATE	CLDD	DP01	DP05	DP10	DT00	DT32	DT90	DX32	HTDD	EMXP	MXSD	TPCP	TSNW	EMNT	EMXT	MMNT	MMXT	MNTM
GHCND:USC00456898	19161201	0	-9999	-9999	-9999	0	31	0	21	7001	-9999	4267	-9999	3125	-144	44	-73	-13	-43
GHCND:USC00456898	19170101	0	-9999	-9999	-9999	0	31	0	21	6508	-9999	5486	-9999	3325	-150	44	-77	-11	-41
GHCND:USC00456898	19170201	0	-9999	-9999	-9999	0	27	0	9	2355	-9999	5918	-9999	1956	-144	-6	-65	-33	-79
GHCND:USC00456898	19170301	0	-9999	-9999	-9999	0	31	0	13	6885	-9999	8077	-9999	5232	-128	78	-85	7	-39
GHCND:USC00456898	19170401	0	-9999	-9999	-9999	0	28	0	0	5155	-9999	8306	-9999	2389	-89	211	-44	67	11
GHCND:USC00456898	19170501	0	-9999	-9999	-9999	0	20	0	0	4372	-9999	7595	-9999	356	-78	150	-10	94	42
GHCND:USC00456898	19170601	0	-9999	-9999	-9999	0	12	0	0	3520	-9999	5182	-9999	1206	-39	206	9	123	66
GHCND:USC00456898	19170701	55	-9999	-9999	-9999	0	4	0	0	1418	-9999	3353	-9999	-9999	-22	267	73	199	136
GHCND:USC00456898	19170801	97	0	0	0	0	0	0	0	836	0	127	0	0	22	294	87	232	159
GHCND:USC00456898	19171201	-9999	-9999	-9999	-9999	-9999	-9999	0	10	-9999	-9999	3048	-9999	-9999	-9999	100	-9999	27	-9999
GHCND:USC00456898	19180101	0	-9999	-9999	-9999	0	7	0	12	1545	-9999	3454	-9999	-9999	-172	106	-110	21	-38
GHCND:USC00456898	19180301	0	-9999	-9999	-9999	0	24	0	4	4789	-9999	4775	-9999	-9999	-133	189	-49	41	-9
GHCND:USC00456898	19180401	0	8	5	2	0	8	0	1	1843	457	4801	1441	-9999	-72	211	-11	97	51
GHCND:USC00456898	19180501	0	10	4	0	0	26	0	0	4288	188	3962	1140	-9999	-67	183	-20	109	45
GHCND:USC00456898	19180601	0	0	0	0	0	4	0	0	1997	18	3353	58	-9999	-33	250	44	167	106
GHCND:USC00456898	19180701	45	5	1	0	0	1	0	0	1722	132	0	470	0	-11	272	66	185	127
GHCND:USC00456898	19180801	3	10	7	2	0	2	0	0	2436	333	-9999	1781	-9999	-6	250	51	158	105
GHCND:USC00456898	19180901	1	2	1	0	0	1	0	0	1463	191	-9999	263	0	-17	244	77	192	134
GHCND:USC00456898	19190901	0	4	3	1	0	5	0	0	1715	257	76	666	-9999	-22	228	48	146	97
GHCND:USC00456898	19191001	0	15	4	1	0	22	0	6	5149	318	457	1449	962	-128	194	-26	59	17
GHCND:USC00456898	19191101	0	21	16	4	0	24	0	7	5664	1118	1422	4369	1675	-144	111	-42	30	-6
GHCND:USC00456898	19191201	0	18	12	5	5	24	0	13	6629	635	1524	3443	1294	-222	122	-67	6	-31
GHCND:USC00456898	19200101	0	17	10	7	0	28	0	8	5922	610	2591	3979	2260	-128	83	-40	23	-8
GHCND:USC00456898	19200201	0	3	2	0	0	28	0	7	5433	152	2261	368	608	-100	83	-42	34	-4
GHCND:USC00456898	19200301	0	17	8	4	0	31	0	15	6648	432	3556	2285	2285	-122	56	-62	-1	-31
GHCND:USC00456898	19200401	0	13	8	4	0	29	0	11	6117	457	4877	2342	2342	-111	117	-60	18	-21
GHCND:USC00456898	19200501	0	8	5	1	0	23	0	0	4883	279	3810	1093	718	-67	156	-20	71	26
GHCND:USC00456898	19200601	0	12	6	1	0	12	0	0	3814	343	3200	1649	165	-22	189	19	93	56
GHCND:USC00456898	19200701	1	1	1	0	0	1	0	0	1915	142	1473	162	-9999	0	239	77	166	121
GHCND:USC00456898	19200801	217	3	2	2	0	2	2	0	1534	660	-9999	1095	0	0	333	66	215	141
GHCND:USC00456898	19200901	0	15	14	10	0	5	0	0	2922	1016	559	6121	659	-17	228	33	138	86
GHCND:USC00456898	19201001	0	15	7	3	0	19	0	4	4915	572	762	2530	991	-61	122	-7	56	24
GHCND:USC00456898	19201101	0	19	7	3	0	26	0	2	5433	584	1372	2555	1653	-89	83	-32	35	2
GHCND:USC00456898	19201201	0	21	15	9	0	31	0	16	6420	711	3607	5600	4253	-117	56	-55	6	-24
GHCND:USC00456898	19210101	0	24	19	9	0	31	0	12	6534	686	5613	5830	3962	-117	33	-60	4	-28
GHCND:USC00456898	19210201	0	20	9	6	0	25	0	15	5675	711	5740	4230	1575	-161	94	-52	13	-20
GHCND:USC00456898	19210301	0	17	5	3	0	31	0	8	6047	406	6096	2276	1805	-122	89	-50	26	-12
