   Year                     Snowfall (inches)
   1.9210000e+03   6.7100000e+02
   1.9220000e+03   7.2300000e+02
   1.9230000e+03   5.6500000e+02
   1.9240000e+03   5.5100000e+02
   1.9250000e+03   6.7400000e+02
   1.9260000e+03   3.7300000e+02
   1.9270000e+03   5.8800000e+02
   1.9280000e+03   4.0500000e+02
   1.9290000e+03   5.5400000e+02
   1.9300000e+03   3.9000000e+02
   1.9310000e+03   4.4400000e+02
   1.9320000e+03   7.5100000e+02
   1.9330000e+03   6.2400000e+02
   1.9340000e+03   3.1600000e+02
   1.9350000e+03   5.4300000e+02
   1.9360000e+03   6.0500000e+02
   1.9370000e+03   6.9300000e+02
   1.9380000e+03   5.1100000e+02
   1.9390000e+03   5.7300000e+02
   1.9400000e+03   3.1300000e+02
   1.9410000e+03   5.2900000e+02
   1.9420000e+03   4.4600000e+02
   1.9430000e+03   5.2900000e+02
   1.9440000e+03             NaN
   1.9450000e+03             NaN
   1.9460000e+03             NaN
   1.9470000e+03   5.2900000e+02
   1.9480000e+03   6.6100000e+02
   1.9490000e+03             NaN
   1.9500000e+03             NaN
   1.9510000e+03             NaN
   1.9520000e+03             NaN
   1.9530000e+03             NaN
   1.9540000e+03             NaN
   1.9550000e+03   7.8800000e+02
   1.9560000e+03   1.0000000e+03
   1.9570000e+03   6.1900000e+02
   1.9580000e+03   6.0200000e+02
   1.9590000e+03   6.4600000e+02
   1.9600000e+03   5.6400000e+02
   1.9610000e+03   6.8500000e+02
   1.9620000e+03   5.4500000e+02
   1.9630000e+03   4.5200000e+02
   1.9640000e+03   4.2900000e+02
   1.9650000e+03   5.3800000e+02
   1.9660000e+03   5.8300000e+02
   1.9670000e+03   6.9200000e+02
   1.9680000e+03   5.0200000e+02
   1.9690000e+03   8.2900000e+02
   1.9700000e+03   6.4900000e+02
   1.9710000e+03   8.8400000e+02
   1.9720000e+03   1.1220000e+03
   1.9730000e+03   5.7700000e+02
   1.9740000e+03   1.0700000e+03
   1.9750000e+03   8.2000000e+02
   1.9760000e+03   8.5800000e+02
   1.9770000e+03   4.1400000e+02
   1.9780000e+03   5.9800000e+02
   1.9790000e+03   5.8300000e+02
   1.9800000e+03   6.4500000e+02
   1.9810000e+03   4.6000000e+02
   1.9820000e+03   7.7900000e+02
   1.9830000e+03   6.8100000e+02
   1.9840000e+03   7.2700000e+02
   1.9850000e+03   7.1100000e+02
   1.9860000e+03   5.8900000e+02
   1.9870000e+03   5.7400000e+02
   1.9880000e+03   6.2600000e+02
   1.9890000e+03   7.5500000e+02
   1.9900000e+03   7.2300000e+02
   1.9910000e+03   7.2500000e+02
   1.9920000e+03   4.9900000e+02
   1.9930000e+03   5.5000000e+02
   1.9940000e+03   5.9300000e+02
   1.9950000e+03   7.3200000e+02
   1.9960000e+03   6.5800000e+02
   1.9970000e+03   9.3800000e+02
   1.9980000e+03   6.7400000e+02
   1.9990000e+03   1.0325000e+03
   2.0000000e+03   7.5300000e+02
   2.0010000e+03   4.9100000e+02
   2.0020000e+03   8.3700000e+02
   2.0030000e+03   5.7500000e+02
   2.0040000e+03   6.7400000e+02
   2.0050000e+03   4.0900000e+02
   2.0060000e+03   7.5800000e+02
   2.0070000e+03   6.6500000e+02
   2.0080000e+03   9.4700000e+02
   2.0090000e+03   7.3400000e+02
   2.0100000e+03   5.0900000e+02
   2.0110000e+03   9.0700000e+02
   2.0120000e+03   6.9800000e+02
