Year	Mean (m)				
					
1931	1618.2				
1932	1617.0				
1933	1622.4				
1936	1615.4				
1941	1604.2				
1942	1601.7				
1943	1598.1				
1944	1594.7				
1946	1590.4				
1948	1585.3				
1949	1584.4				
1950	1582.2				
1951	1580.7				
1952	1578.9				
1953	1577.3				
1954	1576.7				
1955	1579.8				
1956	1586.5				
1957	1594.7				
1958	1598.1				
1959	1598.1				
1960	1597.8				
1961	1598.1				
1962	1605.4				
1963	1608.7				
1964	1614.2				
1965	1615.7				
1966	1614.2				
1967	1612.7				
1968	1608.4				
1969	1604.8				
1970	1602.9				
1971	1602.6				
1972	1604.2				
1973	1605.3				
1974	1608.1				
1976	1623.8				
1977	1622.3				
1978	1622.6				
1991	1599.7				
1992	1598.4				
1993	1595.8				
1994	1591.2				
1995	1592.2				
1996	1593.2				
1997	1596.2				
1998	1583.5				
1999	1580.6				
2001	1587.5				
